Date, Open, High, Low, Close
07/21/23, 4.866, 4.889, 4.816, 4.859
07/20/23, 4.781, 4.879, 4.768, 4.866
07/19/23, 4.764, 4.798, 4.700, 4.781
07/18/23, 4.742, 4.781, 4.662, 4.764
07/17/23, 4.747, 4.781, 4.704, 4.742
07/14/23, 4.649, 4.759, 4.620, 4.747
07/13/23, 4.750, 4.750, 4.603, 4.649
07/12/23, 4.877, 4.886, 4.721, 4.750
07/11/23, 4.851, 4.906, 4.826, 4.877
07/10/23, 4.957, 4.961, 4.847, 4.851
07/07/23, 5.002, 5.032, 4.872, 4.957
07/06/23, 4.955, 5.145, 4.939, 5.002
07/05/23, 4.925, 4.959, 4.884, 4.955
07/04/23, 4.925, 4.925, 4.925, 4.925
07/03/23, 4.895, 4.967, 4.854, 4.925
06/30/23, 4.865, 4.937, 4.841, 4.895
06/29/23, 4.716, 4.903, 4.716, 4.865
06/28/23, 4.887, 4.887, 4.704, 4.716
06/27/23, 4.746, 4.887, 4.654, 4.887
06/26/23, 4.754, 4.772, 4.694, 4.746
06/23/23, 4.800, 4.815, 4.707, 4.754
06/22/23, 4.713, 4.808, 4.688, 4.800
06/21/23, 4.700, 4.760, 4.675, 4.713
06/20/23, 4.720, 4.768, 4.661, 4.700
06/16/23, 4.650, 4.788, 4.643, 4.720
06/15/23, 4.684, 4.786, 4.625, 4.650
06/14/23, 4.683, 4.798, 4.591, 4.684
06/13/23, 4.581, 4.717, 4.485, 4.683
06/12/23, 4.606, 4.641, 4.556, 4.581
06/09/23, 4.538, 4.636, 4.509, 4.606
06/08/23, 4.567, 4.597, 4.479, 4.538
06/07/23, 4.500, 4.621, 4.475, 4.567
06/06/23, 4.458, 4.562, 4.433, 4.500
06/05/23, 4.512, 4.583, 4.424, 4.458
06/02/23, 4.337, 4.537, 4.329, 4.512
06/01/23, 4.411, 4.470, 4.316, 4.337
05/31/23, 4.448, 4.469, 4.353, 4.411
05/30/23, 4.564, 4.606, 4.444, 4.448
05/26/23, 4.542, 4.659, 4.481, 4.564
05/25/23, 4.381, 4.546, 4.361, 4.542
05/24/23, 4.320, 4.402, 4.250, 4.381
05/23/23, 4.341, 4.410, 4.303, 4.320
05/22/23, 4.268, 4.367, 4.218, 4.341
05/19/23, 4.267, 4.345, 4.196, 4.268
05/18/23, 4.169, 4.284, 4.135, 4.267
05/17/23, 4.080, 4.190, 4.059, 4.169
05/16/23, 4.004, 4.114, 3.962, 4.080
05/15/23, 3.996, 4.034, 3.916, 4.004
05/12/23, 3.916, 4.004, 3.878, 3.996
05/11/23, 3.916, 3.950, 3.812, 3.916
05/10/23, 4.029, 4.074, 3.891, 3.916
05/09/23, 3.995, 4.066, 3.958, 4.029
05/08/23, 3.908, 4.008, 3.908, 3.995
05/05/23, 3.805, 3.941, 3.775, 3.908
05/04/23, 3.838, 3.896, 3.661, 3.805
05/03/23, 3.982, 4.003, 3.838, 3.838
05/02/23, 4.143, 4.160, 3.945, 3.982
05/01/23, 4.006, 4.159, 4.006, 4.143
04/28/23, 4.072, 4.118, 4.002, 4.006
04/27/23, 3.945, 4.109, 3.916, 4.072
04/26/23, 3.976, 3.994, 3.855, 3.945
04/25/23, 4.090, 4.108, 3.912, 3.976
04/24/23, 4.175, 4.197, 4.090, 4.090
04/21/23, 4.140, 4.192, 4.086, 4.175
04/20/23, 4.246, 4.263, 4.136, 4.140
04/19/23, 4.207, 4.305, 4.195, 4.246
04/18/23, 4.203, 4.233, 4.152, 4.207
04/17/23, 4.109, 4.211, 4.097, 4.203
04/14/23, 3.983, 4.147, 3.950, 4.109
04/13/23, 3.970, 4.000, 3.904, 3.983
04/12/23, 4.024, 4.075, 3.878, 3.970
04/11/23, 4.016, 4.075, 3.954, 4.024
04/10/23, 3.966, 4.020, 3.929, 4.016
04/07/23, 3.825, 3.978, 3.721, 3.966
04/06/23, 3.804, 3.879, 3.679, 3.825
04/05/23, 3.838, 3.904, 3.693, 3.804
04/04/23, 3.970, 4.040, 3.825, 3.838
04/03/23, 4.027, 4.143, 3.966, 3.970
03/31/23, 4.134, 4.176, 4.019, 4.027
03/30/23, 4.060, 4.183, 4.031, 4.134
03/29/23, 4.072, 4.154, 3.998, 4.060
03/28/23, 4.002, 4.080, 3.900, 4.072
03/27/23, 3.779, 4.031, 3.733, 4.002
03/24/23, 3.846, 3.868, 3.553, 3.779
03/23/23, 3.935, 4.013, 3.762, 3.846
03/22/23, 4.166, 4.263, 3.922, 3.935
03/21/23, 3.991, 4.204, 3.910, 4.166
03/20/23, 3.825, 4.033, 3.620, 3.991
03/17/23, 4.186, 4.264, 3.783, 3.825
03/16/23, 3.879, 4.228, 3.816, 4.186
03/15/23, 4.250, 4.430, 3.705, 3.879
03/14/23, 3.985, 4.410, 3.814, 4.250
03/13/23, 4.595, 4.595, 3.918, 3.985
03/10/23, 4.876, 4.876, 4.569, 4.595
03/09/23, 5.070, 5.075, 4.855, 4.876
03/08/23, 5.015, 5.096, 4.965, 5.070
03/07/23, 4.901, 5.027, 4.851, 5.015
03/06/23, 4.871, 4.918, 4.825, 4.901
03/03/23, 4.904, 4.921, 4.833, 4.871
03/02/23, 4.895, 4.966, 4.854, 4.904
03/01/23, 4.820, 4.904, 4.808, 4.895
02/28/23, 4.791, 4.841, 4.782, 4.820
02/27/23, 4.803, 4.857, 4.774, 4.791
02/24/23, 4.695, 4.816, 4.682, 4.803
02/23/23, 4.699, 4.732, 4.679, 4.695
02/22/23, 4.725, 4.725, 4.646, 4.699
02/21/23, 4.630, 4.746, 4.630, 4.725
02/20/23, 4.630, 4.630, 4.630, 4.630
02/17/23, 4.666, 4.719, 4.598, 4.630
02/16/23, 4.618, 4.683, 4.576, 4.666
02/15/23, 4.643, 4.707, 4.584, 4.618
02/14/23, 4.541, 4.656, 4.431, 4.643
02/13/23, 4.511, 4.566, 4.494, 4.541
02/10/23, 4.492, 4.528, 4.468, 4.511
02/09/23, 4.429, 4.530, 4.400, 4.492
02/08/23, 4.471, 4.488, 4.417, 4.429
02/07/23, 4.483, 4.504, 4.408, 4.471
02/06/23, 4.303, 4.483, 4.303, 4.483
02/03/23, 4.108, 4.328, 4.079, 4.303
02/02/23, 4.129, 4.129, 4.038, 4.108
02/01/23, 4.211, 4.261, 4.092, 4.129
01/31/23, 4.253, 4.253, 4.191, 4.211
01/30/23, 4.199, 4.298, 4.199, 4.253
01/27/23, 4.182, 4.236, 4.133, 4.199
01/26/23, 4.129, 4.202, 4.121, 4.182
01/25/23, 4.211, 4.228, 4.108, 4.129
01/24/23, 4.223, 4.266, 4.173, 4.211
01/23/23, 4.194, 4.240, 4.156, 4.223
01/20/23, 4.139, 4.232, 4.122, 4.194
01/19/23, 4.098, 4.152, 4.034, 4.139
01/18/23, 4.211, 4.253, 4.081, 4.098
01/17/23, 4.220, 4.270, 4.173, 4.211
01/13/23, 4.132, 4.236, 4.111, 4.220
01/12/23, 4.216, 4.354, 4.111, 4.132
01/11/23, 4.262, 4.274, 4.216, 4.216
01/10/23, 4.216, 4.291, 4.203, 4.262
01/09/23, 4.283, 4.295, 4.187, 4.216
01/06/23, 4.466, 4.500, 4.258, 4.283
01/05/23, 4.345, 4.483, 4.329, 4.466
01/04/23, 4.374, 4.395, 4.316, 4.345
01/03/23, 4.424, 4.424, 4.345, 4.374
12/30/22, 4.369, 4.453, 4.345, 4.424
12/29/22, 4.353, 4.411, 4.336, 4.369
12/28/22, 4.404, 4.404, 4.203, 4.353
12/27/22, 4.319, 4.447, 4.276, 4.404
12/23/22, 4.257, 4.336, 4.257, 4.319
12/22/22, 4.227, 4.269, 4.185, 4.257
12/21/22, 4.257, 4.287, 4.194, 4.227
12/20/22, 4.245, 4.300, 4.219, 4.257
12/19/22, 4.204, 4.262, 4.169, 4.245
12/16/22, 4.259, 4.304, 4.166, 4.204
12/15/22, 4.218, 4.280, 4.180, 4.259
12/14/22, 4.218, 4.339, 4.168, 4.218
12/13/22, 4.394, 4.394, 4.114, 4.218
12/12/22, 4.361, 4.415, 4.319, 4.394
12/09/22, 4.287, 4.378, 4.257, 4.361
12/08/22, 4.271, 4.333, 4.254, 4.287
12/07/22, 4.366, 4.387, 4.229, 4.271
12/06/22, 4.333, 4.420, 4.333, 4.366
12/05/22, 4.292, 4.412, 4.292, 4.333
12/02/22, 4.228, 4.421, 4.173, 4.292
12/01/22, 4.335, 4.376, 4.223, 4.228
11/30/22, 4.471, 4.558, 4.318, 4.335
11/29/22, 4.442, 4.500, 4.409, 4.471
11/28/22, 4.480, 4.484, 4.418, 4.442
11/25/22, 4.509, 4.525, 4.422, 4.480
11/23/22, 4.509, 4.570, 4.468, 4.509
11/22/22, 4.535, 4.542, 4.484, 4.509
11/21/22, 4.514, 4.544, 4.467, 4.535
11/18/22, 4.458, 4.527, 4.433, 4.514
11/17/22, 4.387, 4.484, 4.344, 4.458
11/16/22, 4.345, 4.408, 4.319, 4.387
11/15/22, 4.391, 4.412, 4.311, 4.345
11/14/22, 4.324, 4.437, 4.324, 4.391
11/10/22, 4.651, 4.651, 4.290, 4.324
11/09/22, 4.659, 4.701, 4.592, 4.651
11/08/22, 4.705, 4.747, 4.651, 4.659
11/07/22, 4.692, 4.747, 4.667, 4.705
11/04/22, 4.729, 4.805, 4.667, 4.692
11/03/22, 4.607, 4.753, 4.607, 4.729
11/02/22, 4.557, 4.620, 4.437, 4.536
11/01/22, 4.487, 4.570, 4.404, 4.557
10/31/22, 4.408, 4.511, 4.359, 4.487
10/28/22, 4.289, 4.437, 4.264, 4.408
10/27/22, 4.420, 4.570, 4.285, 4.289
10/26/22, 4.462, 4.488, 4.375, 4.420
10/25/22, 4.492, 4.513, 4.394, 4.462
10/24/22, 4.504, 4.535, 4.402, 4.492
10/21/22, 4.610, 4.642, 4.466, 4.504
10/20/22, 4.554, 4.623, 4.546, 4.610
10/19/22, 4.444, 4.567, 4.431, 4.554
10/18/22, 4.452, 4.482, 4.397, 4.444
10/17/22, 4.511, 4.511, 4.401, 4.452
10/14/22, 4.472, 4.524, 4.401, 4.511
10/13/22, 4.287, 4.535, 4.262, 4.472
10/12/22, 4.295, 4.337, 4.266, 4.287
10/11/22, 4.312, 4.354, 4.262, 4.295
10/10/22, 4.312, 4.312, 4.312, 4.312
10/07/22, 4.262, 4.346, 4.249, 4.312
10/06/22, 4.138, 4.266, 4.133, 4.262
10/05/22, 4.101, 4.212, 4.076, 4.138
10/04/22, 4.109, 4.113, 3.994, 4.101
10/03/22, 4.279, 4.279, 4.052, 4.109
09/30/22, 4.217, 4.283, 4.134, 4.279
09/29/22, 4.139, 4.246, 4.131, 4.217
09/28/22, 4.287, 4.316, 4.086, 4.139
09/27/22, 4.347, 4.347, 4.205, 4.287
09/26/22, 4.212, 4.360, 4.205, 4.347
09/23/22, 4.127, 4.277, 4.109, 4.212
09/22/22, 4.040, 4.169, 4.040, 4.127
09/21/22, 3.971, 4.117, 3.912, 4.040
09/20/22, 3.927, 4.000, 3.927, 3.971
09/19/22, 3.867, 3.974, 3.859, 3.927
09/16/22, 3.877, 3.931, 3.837, 3.867
09/15/22, 3.784, 3.890, 3.780, 3.877
09/14/22, 3.745, 3.839, 3.729, 3.784
09/13/22, 3.628, 3.792, 3.499, 3.745
09/12/22, 3.561, 3.628, 3.511, 3.628
09/09/22, 3.522, 3.582, 3.461, 3.561
09/08/22, 3.443, 3.535, 3.406, 3.522
09/07/22, 3.513, 3.526, 3.439, 3.443
09/06/22, 3.402, 3.542, 3.402, 3.513
09/05/22, 3.402, 3.402, 3.402, 3.402
09/02/22, 3.516, 3.525, 3.385, 3.402
09/01/22, 3.483, 3.553, 3.462, 3.516
08/31/22, 3.433, 3.503, 3.425, 3.483
08/30/22, 3.437, 3.507, 3.397, 3.433
08/29/22, 3.384, 3.486, 3.384, 3.437
08/26/22, 3.392, 3.470, 3.352, 3.384
08/25/22, 3.392, 3.408, 3.343, 3.392
08/24/22, 3.285, 3.428, 3.280, 3.392
08/23/22, 3.314, 3.339, 3.213, 3.285
08/22/22, 3.225, 3.352, 3.225, 3.314
08/19/22, 3.191, 3.284, 3.191, 3.225
08/18/22, 3.279, 3.316, 3.187, 3.191
08/17/22, 3.241, 3.370, 3.241, 3.279
08/16/22, 3.178, 3.266, 3.158, 3.241
08/15/22, 3.257, 3.261, 3.162, 3.178
08/12/22, 3.194, 3.269, 3.157, 3.257
08/11/22, 3.210, 3.219, 3.120, 3.194
08/10/22, 3.259, 3.288, 3.075, 3.210
08/09/22, 3.205, 3.309, 3.181, 3.259
08/08/22, 3.218, 3.263, 3.169, 3.205
08/05/22, 3.054, 3.242, 3.017, 3.218
08/04/22, 3.066, 3.115, 3.017, 3.054
08/03/22, 3.037, 3.192, 3.001, 3.066
08/02/22, 2.868, 3.074, 2.807, 3.037
08/01/22, 2.884, 2.928, 2.848, 2.868
07/29/22, 2.863, 2.944, 2.819, 2.884
07/28/22, 3.024, 3.033, 2.835, 2.863
07/27/22, 3.053, 3.117, 2.944, 3.024
07/26/22, 3.033, 3.057, 2.976, 3.053
07/25/22, 2.991, 3.050, 2.978, 3.033
07/22/22, 3.100, 3.155, 2.911, 2.991
07/21/22, 3.233, 3.276, 3.087, 3.100
07/20/22, 3.246, 3.263, 3.162, 3.233
07/19/22, 3.166, 3.258, 3.137, 3.246
07/18/22, 3.128, 3.204, 3.120, 3.166
07/15/22, 3.120, 3.183, 3.083, 3.128
07/14/22, 3.153, 3.269, 3.078, 3.120
07/13/22, 3.045, 3.219, 3.029, 3.153
07/12/22, 3.090, 3.090, 2.979, 3.045
07/11/22, 3.115, 3.132, 3.024, 3.090
07/08/22, 3.020, 3.148, 2.991, 3.115
07/07/22, 2.983, 3.057, 2.955, 3.020
07/06/22, 2.829, 3.000, 2.759, 2.983
07/05/22, 2.837, 2.996, 2.768, 2.829
07/04/22, 2.837, 2.837, 2.837, 2.837
07/01/22, 2.963, 2.992, 2.744, 2.837
06/30/22, 3.053, 3.065, 2.931, 2.963
06/29/22, 3.134, 3.142, 3.045, 3.053
06/28/22, 3.123, 3.162, 2.964, 3.134
06/27/22, 3.076, 3.157, 3.051, 3.123
06/24/22, 3.031, 3.097, 2.949, 3.076
06/23/22, 3.052, 3.112, 2.880, 3.031
06/22/22, 3.211, 3.216, 3.043, 3.052
06/21/22, 3.192, 3.275, 3.173, 3.211
06/20/22, 3.192, 3.192, 3.192, 3.192
06/17/22, 3.106, 3.218, 3.096, 3.192
06/16/22, 3.222, 3.408, 3.089, 3.106
06/15/22, 3.422, 3.445, 3.189, 3.222
06/14/22, 3.358, 3.456, 3.221, 3.422
06/13/22, 3.069, 3.438, 2.829, 3.358
06/10/22, 2.803, 3.074, 2.803, 3.069
06/09/22, 2.766, 2.832, 2.766, 2.803
06/08/22, 2.741, 2.790, 2.729, 2.766
06/07/22, 2.720, 2.761, 2.688, 2.741
06/06/22, 2.683, 2.740, 2.647, 2.720
06/03/22, 2.630, 2.695, 2.626, 2.683
06/02/22, 2.662, 2.678, 2.622, 2.630
06/01/22, 2.553, 2.678, 2.553, 2.662
05/31/22, 2.468, 2.597, 2.468, 2.553
05/30/22, 2.468, 2.468, 2.468, 2.468
05/27/22, 2.484, 2.496, 2.440, 2.468
05/26/22, 2.496, 2.528, 2.432, 2.484
05/25/22, 2.500, 2.540, 2.460, 2.496
05/24/22, 2.608, 2.642, 2.483, 2.500
05/23/22, 2.570, 2.650, 2.570, 2.608
05/20/22, 2.583, 2.650, 2.562, 2.612
05/19/22, 2.682, 2.691, 2.570, 2.583
05/18/22, 2.690, 2.744, 2.661, 2.682
05/17/22, 2.599, 2.711, 2.566, 2.586
05/16/22, 2.586, 2.615, 2.545, 2.590
05/13/22, 2.570, 2.627, 2.562, 2.516
05/12/22, 2.623, 2.676, 2.508, 2.643
05/11/22, 2.619, 2.746, 2.574, 2.623
05/10/22, 2.606, 2.643, 2.557, 2.619
05/09/22, 2.712, 2.762, 2.578, 2.606
05/06/22, 2.699, 2.766, 2.643, 2.696
05/05/22, 2.654, 2.748, 2.638, 2.626
05/04/22, 2.768, 2.858, 2.610, 2.756
05/03/22, 2.727, 2.789, 2.687, 2.727
05/02/22, 2.719, 2.756, 2.687, 2.698
04/29/22, 2.621, 2.755, 2.621, 2.719
04/28/22, 2.581, 2.678, 2.553, 2.572
04/27/22, 2.500, 2.605, 2.500, 2.551
04/26/22, 2.626, 2.681, 2.496, 2.500
04/25/22, 2.671, 2.676, 2.517, 2.722
04/22/22, 2.703, 2.793, 2.630, 2.630
04/21/22, 2.569, 2.724, 2.569, 2.703
04/20/22, 2.602, 2.636, 2.540, 2.569
04/19/22, 2.469, 2.619, 2.432, 2.602
04/18/22, 2.451, 2.523, 2.451, 2.469
04/15/22, 2.451, 2.451, 2.451, 2.451
04/14/22, 2.352, 2.488, 2.299, 2.455
04/13/22, 2.414, 2.451, 2.278, 2.352
04/12/22, 2.495, 2.558, 2.364, 2.414
04/11/22, 2.524, 2.598, 2.475, 2.495
04/08/22, 2.470, 2.540, 2.446, 2.466
04/07/22, 2.486, 2.486, 2.413, 2.510
04/06/22, 2.530, 2.604, 2.449, 2.486
04/05/22, 2.432, 2.542, 2.404, 2.530
04/04/22, 2.465, 2.501, 2.408, 2.432
04/01/22, 2.343, 2.473, 2.339, 2.465
03/31/22, 2.310, 2.347, 2.270, 2.343
03/30/22, 2.375, 2.379, 2.298, 2.310
03/29/22, 2.340, 2.455, 2.338, 2.375
03/28/22, 2.280, 2.421, 2.277, 2.340
03/25/22, 2.135, 2.335, 2.135, 2.280
03/24/22, 2.109, 2.176, 2.109, 2.135
03/23/22, 2.175, 2.205, 2.100, 2.109
03/22/22, 2.124, 2.204, 2.119, 2.175
03/21/22, 1.944, 2.136, 1.941, 2.124
03/18/22, 1.922, 1.978, 1.891, 1.944
03/17/22, 1.954, 1.967, 1.889, 1.922
03/16/22, 1.867, 2.008, 1.831, 1.954
03/15/22, 1.867, 1.896, 1.790, 1.867
03/14/22, 1.752, 1.871, 1.752, 1.867
03/11/22, 1.702, 1.772, 1.675, 1.752
03/10/22, 1.678, 1.743, 1.637, 1.702
03/09/22, 1.605, 1.686, 1.593, 1.678
03/08/22, 1.548, 1.645, 1.548, 1.605
03/07/22, 1.488, 1.564, 1.428, 1.548
03/04/22, 1.540, 1.540, 1.404, 1.488
03/03/22, 1.516, 1.564, 1.464, 1.540
03/02/22, 1.349, 1.536, 1.269, 1.516
03/01/22, 1.432, 1.484, 1.257, 1.349
02/28/22, 1.576, 1.576, 1.416, 1.432
02/25/22, 1.587, 1.631, 1.552, 1.576
02/24/22, 1.607, 1.607, 1.460, 1.587
02/23/22, 1.562, 1.631, 1.562, 1.607
02/22/22, 1.470, 1.570, 1.433, 1.562
02/21/22, 1.470, 1.470, 1.470, 1.470
02/18/22, 1.470, 1.510, 1.444, 1.470
02/17/22, 1.523, 1.524, 1.466, 1.470
02/16/22, 1.571, 1.601, 1.494, 1.523
02/15/22, 1.583, 1.612, 1.555, 1.571
02/14/22, 1.516, 1.615, 1.505, 1.583
02/11/22, 1.587, 1.631, 1.475, 1.516
02/10/22, 1.358, 1.640, 1.343, 1.587
02/09/22, 1.345, 1.379, 1.314, 1.358
02/08/22, 1.292, 1.354, 1.292, 1.345
02/07/22, 1.316, 1.329, 1.280, 1.292
02/04/22, 1.198, 1.328, 1.198, 1.316
02/03/22, 1.153, 1.222, 1.130, 1.198
02/02/22, 1.169, 1.185, 1.138, 1.153
02/01/22, 1.181, 1.213, 1.137, 1.169
01/31/22, 1.164, 1.220, 1.157, 1.181
01/28/22, 1.191, 1.236, 1.156, 1.164
01/27/22, 1.147, 1.211, 1.147, 1.191
01/26/22, 1.016, 1.155, 1.013, 1.147
01/25/22, 0.987, 1.036, 0.985, 1.016
01/24/22, 1.016, 1.045, 0.934, 0.987
01/21/22, 1.031, 1.044, 0.987, 1.016
