Date, Open, High, Low, Close
07/21/23, 5.485, 5.498, 5.469, 5.477
07/20/23, 5.480, 5.496, 5.466, 5.485
07/19/23, 5.479, 5.492, 5.467, 5.480
07/18/23, 5.479, 5.500, 5.470, 5.479
07/17/23, 5.480, 5.487, 5.460, 5.479
07/14/23, 5.463, 5.493, 5.450, 5.480
07/13/23, 5.480, 5.485, 5.455, 5.463
07/12/23, 5.513, 5.519, 5.470, 5.480
07/11/23, 5.495, 5.524, 5.495, 5.513
07/10/23, 5.480, 5.511, 5.455, 5.495
07/07/23, 5.496, 5.501, 5.458, 5.480
07/06/23, 5.483, 5.528, 5.455, 5.496
07/05/23, 5.444, 5.499, 5.444, 5.483
07/04/23, 5.444, 5.444, 5.444, 5.444
07/03/23, 5.449, 5.462, 5.424, 5.444
06/30/23, 5.465, 5.489, 5.441, 5.449
06/29/23, 5.455, 5.502, 5.425, 5.465
06/28/23, 5.413, 5.455, 5.411, 5.455
06/27/23, 5.331, 5.421, 5.329, 5.413
06/26/23, 5.418, 5.431, 5.331, 5.331
06/23/23, 5.407, 5.421, 5.394, 5.418
06/22/23, 5.392, 5.418, 5.362, 5.407
06/21/23, 5.344, 5.424, 5.336, 5.392
06/20/23, 5.324, 5.355, 5.310, 5.344
06/16/23, 5.316, 5.351, 5.303, 5.324
06/15/23, 5.338, 5.370, 5.316, 5.316
06/14/23, 5.331, 5.354, 5.317, 5.338
06/13/23, 5.367, 5.390, 5.312, 5.331
06/12/23, 5.375, 5.401, 5.353, 5.367
06/09/23, 5.378, 5.405, 5.367, 5.375
06/08/23, 5.424, 5.424, 5.378, 5.378
06/07/23, 5.428, 5.464, 5.416, 5.424
06/06/23, 5.432, 5.468, 5.425, 5.428
06/05/23, 5.473, 5.488, 5.424, 5.432
06/02/23, 5.425, 5.505, 5.390, 5.473
06/01/23, 5.447, 5.457, 5.422, 5.425
05/31/23, 5.433, 5.495, 5.431, 5.447
05/30/23, 5.399, 5.460, 5.377, 5.433
05/26/23, 5.424, 5.462, 5.395, 5.399
05/25/23, 5.398, 5.478, 5.370, 5.424
05/24/23, 5.355, 5.403, 5.328, 5.398
05/23/23, 5.316, 5.420, 5.316, 5.355
05/22/23, 5.319, 5.367, 5.305, 5.316
05/19/23, 5.327, 5.362, 5.308, 5.319
05/18/23, 5.258, 5.348, 5.236, 5.327
05/17/23, 5.224, 5.277, 5.210, 5.258
05/16/23, 5.153, 5.245, 5.147, 5.224
05/15/23, 5.113, 5.158, 5.089, 5.153
05/12/23, 5.097, 5.129, 5.087, 5.113
05/11/23, 5.100, 5.148, 5.054, 5.097
05/10/23, 5.149, 5.167, 5.082, 5.100
